#Energy (MeV), XS (cm2)
15.0,1.56E-48
17.5,8.42E-46
20.0,7.26E-45
22.5,3.99E-44
25.0,1.77E-43
27.5,5.23E-43
30.0,1.25E-42
32.5,2.58E-42
35.0,4.76E-42
37.5,8.05E-42
40.0,1.28E-41
45.0,2.76E-41
50.0,5.21E-41
55.0,8.89E-41
60.0,1.41E-40
65.0,2.12E-40
70.0,3.02E-40
80.0,5.52E-40
90.0,8.92E-40
100.0,1.32E-39
